sku_code,name,color,size,barcode,active
TTT-STR-BLAREDSTR-PLUS,Black and Red Stripes,,,,TRUE
TTT-STR-BLAPURSTR-PLUS,Black and Purple Stripes,,,,TRUE
TTT-STR-BLAHOTPINSTR-PLUS,Black and Hot Pink Stripes,,,,TRUE
TTT-STR-BLAGRESTR-PLUS,Black and Green Stripes,,,,TRUE
TTT-STR-BLAORASTR-PLUS,Black and Orange Stripes,,,,TRUE
TTT-STR-BLAMULSTR-PLUS,Black and Multicolor Stripes,,,,TRUE
TTT-STR-BHMSTR-PLUS,BHM (Black History Month),,,,TRUE
TTT-SOL-TWLPOP-PLUS,Twilight Pop,,,,TRUE
TTT-STR-BLAYELSTR-PLUS,Black and Yellow,,,,TRUE
TTT-SOL-SOLGLO-PLUS,Solar Glow,,,,TRUE
TTT-STR-WHIBLASTR-PLUS,White and Black Stripes,,,,TRUE
TTT-STR-WHIICEBLUSTR-PLUS,White and Ice Blue Stripes,,,,TRUE
TTT-STR-WHTWGRTRSTR-PLUS,White and Green Stripes,,,,TRUE
TTT-STR-CANCANSTR-PLUS,Candy Cane Stripes,,,,TRUE
TTT-STR-ORABLASTR-PLUS,Orange and Black Stripes,,,,TRUE
TTT-STR-NAVWHISTR-PLUS,Navy and White Stripes,,,,TRUE
TTT-STR-NAVSILSTR-PLUS,Navy and Silver Stripes,,,,TRUE
TTT-STR-RAISTR-PLUS,Rainbow,,,,TRUE
TTT-STR-ALLAMESTR-PLUS,All American,,,,TRUE
TTT-STR-HOTPINWHISTR-PLUS,Hot Pink and White Stripes,,,,TRUE
TTT-STR-BUBGUMWHISTR-PLUS,Bubblegum Pink and White Stripes,,,,TRUE
TTT-STR-ELEBLUWHISTR-PLUS,Electric Blue and White Stripes,,,,TRUE
TTT-STR-CELGREWHISTR-PLUS,Celtic Green and White Stripes,,,,TRUE
TTT-STR-CHEWHISTR-PLUS,Cherry and White Stripes,,,,TRUE
TTT-STR-CARBLUWHISTR-PLUS,Carolina Blue and White Stripes,,,,TRUE
TTT-STR-DARCHEWHISTR-PLUS,Dark Cherry and White Stripes,,,,TRUE
TTT-STR-IMPPURWHISTR-PLUS,Imperial Purple and White Stripes,,,,TRUE
TTT-STR-SMOGREBLASTR-PLUS,Smoke Grey and Black Stripes,,,,TRUE
TTT-STR-SMOGREWHISTR-PLUS,Smoke Grey and White Stripes,,,,TRUE
TTT-STR-CHRFESSTR-PLUS,Christmas Festive Stripes,,,,TRUE
TTT-STR-BLOBRESTR-PLUS,Blossom Breeze,,,,TRUE
TTT-STR-WITVIBSTR-PLUS,Witchy Vibes,,,,TRUE
TTT-STR-EMEONYSTR-PLUS,Emerald Onyx Stripes,,,,TRUE
TTT-SOL-GOTCHISTR-PLUS,Gothic Chic Stripes,,,,TRUE
TTT-STR-WINGRESTR-PLUS,Winter Green Stripes,,,,TRUE
TTT-SOL-PEPSRI-PLUS,Peppermint Stripes,,,,TRUE
TTT-STR-MIDFROSTR-PLUS,Midnight Frost Stripes,,,,TRUE
TTT-STR-PUMSPISTR-PLUS,Pumpkin Spice Stripes,,,,TRUE
TTT-STR-SUGRUSSTR-PLUS,Sugar Rush Stripes,,,,TRUE
TTT-SOL-WINWHISOL-PLUS,White Solid (Winter White),,,,TRUE
TTT-SOL-SMOGRESOL-PLUS,Grey Solid (Smoke Grey),,,,TRUE
TTT-SOL-NAVSOL-PLUS,Navy Solid,,,,TRUE
TTT-SOL-CARBLUSOL-PLUS,Carolina Blue Solid,,,,TRUE
TTT-SOL-TANSOL-PLUS,Tan,,,,TRUE
TTT-SOL-BROSOL-PLUS,Brown Solid,,,,TRUE
TTT-SOL-CHESOL-PLUS,Cherry Solid,,,,TRUE
TTT-SOL-DARCHESOL-PLUS,Dark Cherry Solid,,,,TRUE
TTT-SOL-JUIPUR-PLUS,Juicy Purple,,,,TRUE
TTT-SOL-LOVLIL-PLUS,Lovely Lilac,,,,TRUE
TTT-SOL-CELGRE-PLUS,Celtic Green,,,,TRUE
TTT-SOL-CHAGRE-PLUS,Chartreuse Green,,,,TRUE
TTT-SOL-ROYBLU-PLUS,Royal Blue,,,,TRUE
TTT-SOL-BUB-PLUS,Bubblegum,,,,TRUE
TTT-SOL-ELEBLUSOL-PLUS,Electric Blue,,,,TRUE
TTT-SOL-HOTPINSOL-PLUS,Hot Pink Solid,,,,TRUE
TTT-SOL-PUMSOL-PLUS,Pumpkin (Orange),,,,TRUE
TTT-SOL-SHASOC-PLUS,Shamrock Socks,,,,TRUE
TTT-SOL-HEASOC-PLUS,Heart Socks,,,,TRUE
TTT-SOL-PLUM-PLUS,Plum Solid,,,,TRUE
TTT-PFS-COTPOLY-BLK,Black Shorts,,,,TRUE
TTT-PFS-COTPOLY-RED,Red Shorts,,,,TRUE
TTT-PFS-COTPOLY-AQU,Aqua,,,,TRUE
TTT-PFS-COTPOLY-GRY,Grey,,,,TRUE
TTT-THN-BLASOLID-PLUS,Thin Black Socks,,,,TRUE
TTT-THN-BLAWWHITESTRIPES-PLUS,Thin Black and White Stripes,,,,TRUE
TTT-THN-YEL-PLUS,Thin Yellow Solid,,,,TRUE
TTT-THN-WHISOLID-PLUS,Thin White Solid,,,,TRUE
TTT-THN-BLAWREDSTRIPES-PLUS,Thin Black and Red Stripes,,,,TRUE